timestep,aqi,voltage,energy,wind_speed,concentration
49400,50.9457232531166,2.3592500000000003,202.8357,2.3592500000000003,12.537395531563707
49500,51.45346633587199,2.3282,197.79768,2.3282,12.722792134128543
49600,51.67069068360198,2.316666666666667,196.13639999999998,2.316666666666667,12.815377069419664
49700,51.36173969536079,2.335714285714286,199.04194285714289,2.335714285714286,12.68680673382297
49800,51.569883640313044,2.325,197.33759999999998,2.325,12.754128093550595
49900,51.389633789066416,2.3371111111111107,199.212,2.3371111111111107,12.673542708630885
50000,51.516876004144,2.3295,198.02484,2.3295,12.723522973481995
50100,52.760728073989384,2.262,187.7832,2.262,13.201577956631859
50200,50.85012513011966,2.3735,205.0686,2.3735,12.464526517091924
50300,51.33162389932751,2.3416666666666663,200.14439999999996,2.3416666666666663,12.667111778087515
50400,51.796174738243444,2.31825,196.3143,2.31825,12.803515526069509
50500,51.332149743888316,2.3473999999999995,200.78279999999998,2.3473999999999995,12.608777754386384
50600,51.79213457395428,2.3191666666666664,196.49939999999998,2.3191666666666664,12.80786765822957
50700,51.412381048030305,2.340142857142857,199.84679999999997,2.340142857142857,12.674470233806023
50800,51.508720357775964,2.3352500000000003,199.16099999999997,2.3352500000000003,12.713582392262197
50900,51.70612534436846,2.323,197.22199999999998,2.323,12.790455224200736
51000,51.36223817914148,2.3426,200.36159999999998,2.3426,12.669025891735437
51100,53.69526859104505,2.2169999999999996,181.14839999999995,2.2169999999999996,13.536053698611259
51200,52.8346914538322,2.2595,188.07299999999995,2.2595,13.285384662853367
51300,51.853963312126275,2.314666666666666,196.1352,2.314666666666666,12.873352713550041
51400,52.31853842512946,2.2897499999999997,192.2985,2.2897499999999997,13.043520709092125
51500,52.13859611960808,2.3062,194.39496,2.3062,12.894647859976867
51600,52.22108664222519,2.298666666666666,193.22759999999997,2.298666666666666,12.942409525345383
51700,52.358490631964635,2.2901428571428566,192.01628571428566,2.2901428571428566,13.007720519057402
51800,52.317831046770614,2.29325,192.141,2.29325,12.955668426227803
51900,52.5287131734008,2.280222222222222,190.212,2.280222222222222,13.050831283813588
52000,52.52542511512784,2.2792,190.05912,2.2792,13.05545314751485
52100,51.737009277852664,2.338,196.89840000000004,2.338,12.469142439277402
52200,52.764509840353924,2.2679999999999993,186.6024,2.2679999999999993,12.964873597955462
52300,52.41129948727317,2.296,191.02319999999995,2.296,12.790689468493085
52400,52.79572179577051,2.2769999999999997,188.62919999999997,2.2769999999999997,12.973257410329216
52500,53.13167154491246,2.2555999999999994,185.51664000000002,2.2555999999999994,13.132867670986288
52600,52.82464050239134,2.276666666666667,188.65559999999996,2.276666666666667,12.98366526069268
52700,53.382295138734605,2.2528571428571422,185.97599999999997,2.2528571428571422,13.286589305528661
52800,53.3335490948199,2.2513749999999995,185.83155,2.2513749999999995,13.293920871019122
52900,52.9273705786467,2.2741111111111105,189.32199999999997,2.2741111111111105,13.135560268281301
53000,53.10332353564686,2.2612999999999994,187.29756,2.2612999999999994,13.212760884634514
53100,49.661394322721684,2.4509999999999996,216.4644,2.4509999999999996,11.899272888267985
53200,51.09996505585125,2.3659999999999997,203.32080000000002,2.3659999999999997,12.460504559323647
53300,51.811094692520506,2.326,196.9536,2.326,12.707703731807454
53400,51.78754654163646,2.3324999999999996,197.6778,2.3324999999999996,12.64100136351546
53500,52.44887124201648,2.29,191.16144,2.29,12.925902418832884
53600,53.17317191577558,2.2526666666666664,185.88239999999996,2.2526666666666664,13.247489886886274
53700,52.55394390564383,2.286428571428571,191.1934285714285,2.286428571428571,13.027570001358177
53800,52.77134431248617,2.270625,188.61704999999998,2.270625,13.11595139881637
53900,52.70341310451976,2.275444444444444,189.17799999999997,2.275444444444444,13.065147755499622
54000,52.62212135243199,2.2785999999999995,189.83664,2.2785999999999995,13.057360847985361
54100,53.038072471557946,2.241000000000001,183.87719999999993,2.241000000000001,13.273559333276038
54200,51.00720974959839,2.361,202.78440000000003,2.361,12.51147184640477
54300,51.467766729588945,2.3326666666666664,198.9384,2.3326666666666664,12.74559624275683
54400,51.54450186305056,2.32775,198.37349999999998,2.32775,12.789794701350452
54500,51.41755180272952,2.3376000000000006,199.46160000000003,2.3376000000000006,12.6881017675668
54600,51.76104057101494,2.3185,196.62779999999998,2.3185,12.827085964846127
54700,51.55381257740413,2.3321428571428573,198.65057142857137,2.3321428571428573,12.728041604371558
54800,51.672301654899876,2.325875,197.72504999999998,2.325875,12.775410912818773
54900,51.916663066234584,2.3114444444444446,195.58919999999998,2.3114444444444446,12.882246516464786
55000,51.56295991878566,2.3318999999999996,198.85572000000002,2.3318999999999996,12.754006355777713
55100,53.419202615774175,2.231,181.93319999999997,2.231,13.30367108863674
55200,53.37008463632057,2.2399999999999993,183.38399999999993,2.2399999999999993,13.253657208655106
55300,52.75323047176448,2.276,188.59199999999996,2.276,12.983875075381173
55400,53.097513636892046,2.2504999999999997,184.53239999999994,2.2504999999999997,13.139707961294175
55500,52.83838861390372,2.269,187.27271999999996,2.269,13.008027603980011
55600,53.10390639306978,2.253166666666666,184.99259999999995,2.253166666666666,13.129832200256535
55700,53.38648195780986,2.2384285714285714,183.1057714285714,2.2384285714285714,13.271854218117188
55800,53.22858606623031,2.2471249999999996,184.20704999999995,2.2471249999999996,13.192140898573305
55900,53.35247843805911,2.2388888888888885,182.9904,2.2388888888888885,13.251114078559908
56000,53.456539466499535,2.2333999999999996,182.25431999999995,2.2333999999999996,13.297347501792478
56100,51.11167827547041,2.367000000000001,201.9492,2.367000000000001,12.324563915778958
56200,52.51688285075978,2.278,188.8884,2.278,12.965283520577522
56300,52.22620547626817,2.3036666666666665,192.63959999999997,2.3036666666666665,12.779066714029504
56400,52.367205322568786,2.29575,191.72789999999998,2.29575,12.860721700485737
56500,52.48486891226539,2.2853999999999997,190.4292,2.2853999999999997,12.956871099135222
56600,52.4768684051114,2.2845,189.891,2.2845,12.9279333130741
56700,52.789371681237284,2.262142857142857,186.3858857142857,2.262142857142857,13.067372471088383
56800,52.82231220510867,2.258625,186.04485,2.258625,13.107765389896434
56900,52.68882855467,2.2686666666666664,187.46239999999997,2.2686666666666664,13.030675848235983
57000,53.11592789453717,2.2432,183.76056,2.2432,13.22402686452497
57100,51.838740222328425,2.3329999999999997,196.0956,2.3329999999999997,12.498829534290863
57200,52.66255235111179,2.2744999999999997,187.29539999999997,2.2744999999999997,12.899904111351372
57300,52.892690363143565,2.259333333333333,185.06399999999994,2.259333333333333,13.008603968729973
57400,51.99852052356075,2.3104999999999993,193.48379999999997,2.3104999999999993,12.715217423399974
57500,52.43241150761421,2.2842,189.68183999999997,2.2842,12.910051751831553
57600,52.69399914593344,2.272,188.01359999999997,2.272,13.01295176586112
57700,52.46845667273547,2.285428571428571,189.9822857142857,2.285428571428571,12.9154783847005
57800,52.60521691928106,2.2782499999999994,188.99549999999996,2.2782499999999994,12.974444758715185
57900,52.525341963414526,2.2842222222222217,189.7936,2.2842222222222217,12.924113653946455
58000,52.724918914599094,2.2716999999999996,187.87787999999998,2.2716999999999996,13.011003432886891
58100,52.98942411252122,2.264,186.68880000000001,2.264,13.064678472905502
58200,52.35238108838854,2.3039999999999994,192.3192,2.3039999999999994,12.752414510913576
58300,52.90641849580216,2.2643333333333335,186.28439999999998,2.2643333333333335,13.018979452774296
58400,53.138330066778614,2.24775,183.67289999999997,2.24775,13.126141270025593
58500,52.83321248369938,2.2685999999999993,186.83495999999997,2.2685999999999993,12.982923446542248
58600,52.95132571178975,2.2615000000000003,185.9802,2.2615000000000003,13.04985883422543
58700,52.3315846861453,2.2945714285714285,191.4932571428571,2.2945714285714285,12.862810276117592
58800,52.475920110442004,2.2874999999999996,190.49129999999997,2.2874999999999996,12.91846861735713
58900,52.604704222544,2.279,189.11799999999994,2.279,12.968821605976657
59000,52.48490265105707,2.288299999999999,190.47636,2.288299999999999,12.901277898907201
59100,53.46402398555053,2.2059999999999995,178.39440000000002,2.2059999999999995,13.467336008062139
59200,53.19836032778183,2.2299999999999995,181.2168,2.2299999999999995,13.243176498023981
59300,51.68183369956792,2.3179999999999996,196.0176,2.3179999999999996,12.753052263382052
59400,52.086070500663325,2.2974999999999994,192.8628,2.2974999999999994,12.897824001031644
59500,51.561679829414814,2.3275999999999994,197.55792,2.3275999999999994,12.706500110950614
59600,51.62384286652379,2.323833333333333,197.1126,2.323833333333333,12.74690190908101
59700,51.75470909314459,2.3137142857142856,195.5581714285714,2.3137142857142856,12.813108821670417
59800,51.60034595468446,2.3254999999999995,197.25029999999998,2.3254999999999995,12.726683640580017
59900,51.75590757673206,2.3178888888888887,196.16279999999998,2.3178888888888887,12.787087008444903
60000,51.73935501411394,2.3182,196.2972,2.3182,12.79090197923627
60100,50.120082975967655,2.4389999999999996,214.2612,2.4389999999999996,11.95197619306748
60200,51.40231021205902,2.3534999999999995,201.46859999999998,2.3534999999999995,12.553717555388362
60300,52.03842578960702,2.306,193.0656,2.306,12.768725355371702
60400,52.06058902730536,2.3015,192.53519999999997,2.3015,12.809995905037349
60500,52.39690971309162,2.2811999999999997,189.61775999999998,2.2811999999999997,12.966814175603945
60600,52.226298604736925,2.296666666666667,191.8416,2.296666666666667,12.851925293843594
60700,52.39562114074325,2.283857142857143,189.96325714285715,2.283857142857143,12.942041932415314
60800,52.26205152415385,2.289375,191.23155,2.289375,12.939086038206149
60900,51.929943931396316,2.307444444444444,194.16599999999997,2.307444444444444,12.829548555739958
61000,52.42605928810347,2.287,191.47320000000002,2.287,13.044305423464928
61100,50.245175800839185,2.423999999999999,211.85999999999996,2.423999999999999,12.041127964393716
61200,49.93792737052587,2.4274999999999993,214.30619999999996,2.4274999999999993,12.149475415179396
61300,50.59664309035444,2.3866666666666667,208.524,2.3866666666666667,12.474094368664288
61400,50.015595098502324,2.4219999999999997,214.011,2.4219999999999997,12.242012207943581
61500,50.62622483176759,2.3886,208.746,2.3886,12.46177727007815
61600,50.884641199392426,2.3698333333333337,205.779,2.3698333333333337,12.5776441617523
61700,51.0460524526387,2.3617142857142857,203.90605714285712,2.3617142857142857,12.58099522523648
61800,51.40195361691142,2.34,200.46239999999997,2.34,12.71894698004844
61900,51.38750362782655,2.344111111111111,200.8348,2.344111111111111,12.670891342615638
62000,51.540866257855086,2.3334,199.21608,2.3334,12.745290802100058
62100,51.33259947450704,2.326,198.28799999999995,2.326,12.796771187981726
62200,51.10766936632148,2.367,203.5296,2.367,12.449082880380011
62300,52.11148076054733,2.2993333333333337,192.6768,2.2993333333333337,12.856425145643662
62400,52.288258366110455,2.2867499999999996,190.88729999999998,2.2867499999999996,12.953998110126282
62500,52.23573077286576,2.2918000000000003,191.20968,2.2918000000000003,12.88447448266425
62600,52.39549039614282,2.283166666666667,189.9138,2.283166666666667,12.948604724419953
62700,51.93527790632527,2.309571428571428,194.1516,2.309571428571428,12.788044730737274
62800,52.123071241487494,2.301125,192.89475,2.301125,12.85015745549508
62900,52.34230623011419,2.288,190.81439999999998,2.288,12.932468306000844
63000,52.037359045216604,2.3062999999999994,193.72139999999996,2.3062999999999994,12.8187675194328
63100,52.47167526875433,2.269999999999999,188.82719999999995,2.269999999999999,13.10472021883579
63200,51.922481819852116,2.2999999999999994,194.19479999999996,2.2999999999999994,12.966486507894281
63300,51.64588675953199,2.3326666666666664,198.47279999999998,2.3326666666666664,12.694731789991584
63400,51.813995867025845,2.3189999999999995,196.2396,2.3189999999999995,12.772290593317946
63500,51.877373505100174,2.3171999999999997,195.47856,2.3171999999999997,12.745381856439504
63600,51.88183007680099,2.316,195.438,2.316,12.766441915068057
63700,52.19350192190271,2.2971428571428567,192.6164571428571,2.2971428571428567,12.901402667102525
63800,51.92050377006785,2.314625,195.28425,2.314625,12.784326139119774
63900,51.99237722369716,2.3094444444444444,194.42919999999998,2.3094444444444444,12.812428316991545
64000,52.09294244417496,2.3001,193.1778,2.3001,12.886952191925916
64100,52.54887093642812,2.2700000000000005,185.62319999999997,2.2700000000000005,12.843648091586152
64200,52.761191771585665,2.2645,185.5674,2.2645,12.950380240565948
64300,52.332059980370744,2.2993333333333332,191.17919999999995,2.2993333333333332,12.74201850100331
64400,52.76579634806505,2.2645,185.84999999999997,2.2645,12.97057040523006
64500,52.82241272108886,2.2569999999999997,185.18903999999998,2.2569999999999997,13.05978648024012
64600,52.63301864738823,2.2711666666666663,187.25219999999996,2.2711666666666663,12.957764637971742
64700,52.754981720011884,2.265285714285714,186.5617714285714,2.265285714285714,13.017028032748811
64800,52.83565800136784,2.261125,185.93774999999997,2.261125,13.045075888147618
64900,52.35076558054556,2.2896666666666663,190.67719999999997,2.2896666666666663,12.88326356891497
65000,52.44219326061224,2.2834999999999996,189.90828,2.2834999999999996,12.94121891455428
65100,49.03148881878978,2.4759999999999995,220.88160000000005,2.4759999999999995,11.778350306268829
65200,50.799252401668944,2.3824999999999994,205.93259999999998,2.3824999999999994,12.353233406309018
65300,51.74466743902783,2.3313333333333333,198.00719999999995,2.3313333333333333,12.692786593463818
65400,51.88794771758522,2.3209999999999997,195.71399999999997,2.3209999999999997,12.701245421071828
65500,52.00038750007661,2.31,194.25456,2.31,12.789954265684624
65600,51.89974677810911,2.3153333333333332,195.47879999999998,2.3153333333333332,12.78772011035588
65700,51.58167469361184,2.3307142857142855,198.02725714285714,2.3307142857142855,12.6963710933907
65800,51.9904195581385,2.304375,193.76055,2.304375,12.853989987656906
65900,52.071561822549654,2.2995555555555556,192.72399999999996,2.2995555555555556,12.861125586651141
66000,52.2750532125201,2.2889,191.08116,2.2889,12.934597819167955
66100,52.0009096683503,2.3050000000000006,193.84199999999993,2.3050000000000006,12.858963558657049
66200,50.49409664596436,2.3915,207.549,2.3915,12.31403593307015
66300,51.01963542730242,2.3626666666666667,203.124,2.3626666666666667,12.506742538836788
66400,51.59094101012082,2.3334999999999995,198.37619999999998,2.3334999999999995,12.679052749917496
66500,51.12394633099262,2.3609999999999998,202.68792,2.3609999999999998,12.502896231034818
66600,51.48010620436178,2.3419999999999996,199.89599999999996,2.3419999999999996,12.645427905268892
66700,51.32962252965991,2.3528571428571423,201.45291428571426,2.3528571428571423,12.563266927437253
66800,51.483099175785064,2.3447499999999994,200.3004,2.3447499999999994,12.625536503010018
66900,51.63516166648208,2.336777777777777,198.96679999999995,2.336777777777777,12.66943283136586
67000,51.65781168832063,2.3360999999999996,198.62171999999998,2.3360999999999996,12.653462450101552
67100,52.85809912431527,2.2679999999999993,188.84159999999997,2.2679999999999993,13.183581476062004
67200,52.92581609381819,2.2664999999999993,187.82819999999992,2.2664999999999993,13.115763394922654
67300,52.74975927195525,2.2723333333333335,187.89,2.2723333333333335,13.00108856808919
67400,52.982164953701414,2.25875,185.84369999999996,2.25875,13.096120835476304
67500,52.911400879185074,2.2608,185.82335999999998,2.2608,13.051755561197735
67600,52.97371870848211,2.255333333333333,185.0988,2.255333333333333,13.09714286932204
67700,53.004914981883815,2.2529999999999997,184.69182857142852,2.2529999999999997,13.107685178880223
67800,53.07208033627941,2.245125,183.19455,2.245125,13.132832034421297
67900,53.18796666097543,2.238555555555555,182.27639999999997,2.238555555555555,13.184242900124955
68000,53.12067767440289,2.2444,183.294,2.2444,13.156874914947993
68100,50.85292817123711,2.405,208.31400000000002,2.405,12.120194416936965
68200,52.00707854249133,2.327,196.5168,2.327,12.656915729563444
68300,51.90377693762889,2.3329999999999997,197.034,2.3329999999999997,12.581781560254294
68400,52.129501684204385,2.3197499999999995,195.26129999999998,2.3197499999999995,12.693283405194993
68500,52.19296824867883,2.309,193.54392,2.309,12.752732595095818
68600,51.79970091158645,2.3331666666666666,197.45459999999997,2.3331666666666666,12.608004558621237
68700,51.9151728181083,2.325428571428571,196.40159999999995,2.325428571428571,12.671279836378282
68800,52.312578641687715,2.30625,193.75019999999998,2.30625,12.843237132793043
68900,52.30916812864869,2.304777777777778,193.27,2.304777777777778,12.829176683652744
69000,52.39348136900697,2.2995,192.47003999999998,2.2995,12.864043880790222
69100,51.56872592084483,2.357999999999999,200.37599999999992,2.357999999999999,12.37043497868744
69200,51.35366098834875,2.356,201.2292,2.356,12.475364833366193
69300,51.939999962080606,2.3196666666666665,195.52679999999995,2.3196666666666665,12.70800855779264
69400,51.526271022969915,2.34575,199.57589999999996,2.34575,12.538888466361396
69500,52.128475404441105,2.3021999999999987,192.48263999999995,2.3021999999999987,12.791251951159392
69600,52.54977540819978,2.275,188.21879999999996,2.275,12.965809338377523
69700,52.23505027934085,2.2967142857142853,191.63777142857143,2.2967142857142853,12.829381975843981
69800,52.219722693553415,2.2986249999999995,192.09824999999998,2.2986249999999995,12.832564124955136
69900,52.13190897769908,2.3065555555555552,193.26039999999998,2.3065555555555552,12.775442782007813
70000,52.225403113858,2.3006999999999995,192.47075999999998,2.3006999999999995,12.825908438459475
70100,52.92366697330257,2.252,183.89520000000005,2.252,13.050444057605727
70200,51.90320311571924,2.3299999999999996,196.3332,2.3299999999999996,12.575919315192008
70300,51.84128604237457,2.33,196.84079999999997,2.33,12.620575604231455
70400,52.161354819515175,2.3122499999999997,194.16689999999994,2.3122499999999997,12.742637697137015
70500,51.66232068259057,2.3432,199.30032,2.3432,12.563506487077804
70600,52.15010001230396,2.3086666666666664,193.87079999999997,2.3086666666666664,12.779757459958203
70700,52.001061838613445,2.321428571428571,195.7494857142857,2.321428571428571,12.68990640637164
70800,52.09915154651108,2.3168749999999996,195.11864999999997,2.3168749999999996,12.729113626205715
70900,52.19495328936477,2.308333333333333,193.93800000000002,2.308333333333333,12.796668045558363
71000,51.999428621911115,2.3208999999999995,195.88139999999996,2.3208999999999995,12.714589554384649
71100,50.959546501461226,2.3709999999999996,204.1812,2.3709999999999996,12.43082761760018
71200,51.69881058467277,2.3374999999999995,198.47339999999997,2.3374999999999995,12.607323398205235
71300,51.43738543357198,2.3606666666666665,201.84959999999998,2.3606666666666665,12.440423670826211
71400,51.901977700073296,2.3339999999999996,197.93699999999998,2.3339999999999996,12.641833373198768
71500,51.89546217288573,2.3352,197.93807999999999,2.3352,12.616148418944144
71600,52.084371108515526,2.3225,196.14059999999998,2.3225,12.714732564114017
71700,52.47413787013227,2.293571428571428,191.8856571428571,2.293571428571428,12.9192882827728
71800,52.27521304363272,2.3078749999999997,193.99634999999998,2.3078749999999997,12.817051569023487
71900,52.257288824773504,2.3078888888888884,194.17799999999997,2.3078888888888884,12.834290424869735
72000,52.187838025651935,2.3089999999999997,194.48928,2.3089999999999997,12.837852704140872
72100,51.01548147276708,2.4029999999999996,207.8964,2.4029999999999996,12.126048605430574
72200,51.7500043504503,2.3464999999999994,199.01339999999996,2.3464999999999994,12.480266538340748
72300,52.8825005085801,2.2616666666666663,185.64599999999996,2.2616666666666663,13.010902745416047
72400,52.932953509216965,2.261999999999999,186.0246,2.261999999999999,13.03919885598953
72500,52.93913085931535,2.2603999999999997,185.97599999999994,2.2603999999999997,13.066700927363625
72600,52.39313482135985,2.2929999999999997,191.19719999999995,2.2929999999999997,12.867545519306605
72700,52.57369193452854,2.283428571428571,189.8228571428571,2.283428571428571,12.94309935819288
72800,52.84946044655161,2.2684999999999995,187.7085,2.2684999999999995,13.062381001468808
72900,52.75422252099869,2.2736666666666663,188.29719999999998,2.2736666666666663,13.00995476494921
73000,52.87329839471272,2.2654999999999994,187.10819999999998,2.2654999999999994,13.070152256539114
73100,51.70625589607994,2.344,197.88479999999998,2.344,12.435831885278828
73200,51.747200690560184,2.3424999999999994,198.23579999999995,2.3424999999999994,12.493221682472436
73300,51.40354591341426,2.359,201.17879999999994,2.359,12.416273323056982
73400,51.28596254226926,2.3707499999999992,202.98869999999997,2.3707499999999992,12.33998168415761
73500,51.45209404955528,2.3592,201.42864,2.3592,12.436207548301713
73600,51.82326367808308,2.3363333333333327,197.96159999999995,2.3363333333333327,12.592497125022941
73700,51.28495885515173,2.364285714285714,202.67794285714285,2.364285714285714,12.438772052335445
73800,51.52677367697108,2.3481249999999996,200.37824999999998,2.3481249999999996,12.563726166236872
73900,51.447496092958424,2.3501111111111106,200.6684,2.3501111111111106,12.54776555999382
74000,51.519243502233955,2.3463,200.31516,2.3463,12.603174264956381
74100,50.56003857327094,2.3850000000000002,206.61479999999995,2.3850000000000002,12.359562719417282
74200,49.85600749748398,2.4330000000000003,214.19279999999998,2.4330000000000003,12.056406233734693
74300,50.810731220585424,2.376333333333333,205.3764,2.376333333333333,12.425109843148684
74400,51.36360239053661,2.3509999999999995,201.29579999999999,2.3509999999999995,12.58422845623443
74500,51.283276426881436,2.3615999999999997,202.65408000000002,2.3615999999999997,12.491790174339126
74600,72.31656195445797,2.221833333333333,189.76979999999998,2.221833333333333,1214038.0594429704
